idusuario,recomendaciones
"{""Id"":""227""}","[""javascript"",""c#"",""jquery"",""html"",""json"",""python"",""sql"",""html5"",""css"",""git"",""bootstrap"","".net"",""windows"",""eclipse"",""jpa"",""google-maps"",""css3"",""string"",""oracle"",""ubuntu"",""netbeans"",""ruby"",""regex"",""swing"",""unity3d"",""git-commit"",""hibernate"",""primefaces"",""git-push"",""google-chrome"",""plugin"",""github"",""matemáticas"",""plsql"",""oracle-11g"",""oauth"",""jdbc"",""google-app-engine"",""admob"",""rubygems"",""oracle-10g"",""i18n"",""sqldeveloper"",""control-de-versiones"",""knockoutjs"",""hql"",""google-datastore"",""asincrónico"",""jboss"",""importación"",""spring-tool-suite"",""jsfiddle"",""3d"",""git-fork"",""jboss-as-7"",""sqlfiddle"",""depuración"",""scss"",""dukescript"",""jboss-cli"",""thymeleaf"",""svn"",""azul-zulu"",""jboss-eap"",""seam"",""jboss-as"",""objectify"",""subversion"",""webgl"",""primefaces-calendar"",""alfresco"",""java-9"",""coffeescript""]"
"{""Id"":""2224""}","[""php"",""mysql"",""html5"",""ajax"",""array"",""linux"",""laravel"",""google-maps"",""git"",""revisión-de-código"",""regex"",""bash"",""orientación-a-objetos"",""joomla3"",""yii2"",""condiciones"",""xpath"",""ecmascript-2015"",""magento2"",""gpg"",""magento-1.9""]"
"{""Id"":""9897""}","[""android"",""sql"",""bootstrap"",""base-de-datos"",""ios"",""xml"",""jsp"",""cordova"",""seguridad"",""eventos"",""phonegap"",""lenguaje-agnóstico"",""svg"",""local-storage"",""d3.js"",""internacionalización"",""avd"",""arm"",""unidades-de-medición"",""programación-móvil"",""cq5"",""almacenamiento"",""css-transform"",""namespace"",""promises"",""inyección-sql"",""intel-atom"",""data-atributos"",""aem""]"
"{""Id"":""3234""}","[""java"",""android"",""jquery"",""json"",""array"",""ios"",""css3"",""wordpress"",""string"",""swift2"",""swift"",""android-layout"",""xcode"",""http"",""post"",""email"",""variables"",""encriptacion"",""app"",""twig"",""webview"",""casting"",""jquery-validate"",""fecha"",""asincrónico"",""whatsapp"",""uitableviewcontroller"",""uitableview"",""mpdf"",""cabeceras-http"",""segue"",""alamofire"",""uicollectionview"",""cocoapods"",""constraints"",""alamofireimage"",""lang"",""uiview"",""jquery-seat-chart"",""wordpress-theme"",""appdelegate"",""if-else"",""boundary"",""nsstring"",""sha512"",""validate"",""required"",""snapkit"",""nsdata"",""dispatch-async""]"
"{""Id"":""23""}","[""java"",""c++"",""array"",""nodejs"",""xml"",""revisión-de-código"",""visual-studio-2015"",""c++11"",""groovy"",""licencias"",""código-abierto""]"
"{""Id"":""517""}","[""php"",""sql"",""android"",""c#"",""json"",""bootstrap"",""windows"",""css3"",""xml"",""git"",""pdf"",""oracle"",""netbeans"",""ruby"",""formularios"",""java-ee"",""jpa"",""lista"",""stored-procedure"",""unity3d"",""maven"",""primefaces"",""plugin"",""github"",""eventos"",""optimización"",""plsql"",""android-asynctask"",""glassfish"",""oracle-11g"",""map"",""git-commit"",""pdo"",""git-push"",""transacciones"",""jdbc"",""admob"",""rubygems"",""oracle-10g"",""sqldeveloper"",""embebido"",""knockoutjs"",""reflexión"",""lambda"",""hql"",""jboss"",""3d"",""jsfiddle"",""callback"",""git-fork"",""jboss-as-7"",""scss"",""depuración"",""sqlfiddle"",""spring-tool-suite"",""azul-zulu"",""jboss-cli"",""jboss-eap"",""seam"",""jboss-as"",""markdown"",""webgl"",""primefaces-calendar"",""pdfmake"",""dukescript"",""java-9"",""coffeescript"",""union""]"
"{""Id"":""2367""}","[""java"",""c#"",""html"",""sql"",""css"",""json"",""bootstrap"",""windows"",""css3"",""git"",""oracle"",""eclipse"",""netbeans"",""ruby"",""regex"",""swing"",""jpa"",""unity3d"",""maven"",""primefaces"",""plugin"",""github"",""plsql"",""oracle-11g"",""git-commit"",""git-push"",""jdbc"",""admob"",""oracle-10g"",""rubygems"",""i18n"",""sqldeveloper"",""knockoutjs"",""hql"",""jboss"",""importación"",""spring-tool-suite"",""3d"",""jsfiddle"",""git-fork"",""jboss-as-7"",""scss"",""sqlfiddle"",""depuración"",""jboss-cli"",""azul-zulu"",""seam"",""jboss-eap"",""jboss-as"",""webgl"",""primefaces-calendar"",""dukescript"",""java-9"",""coffeescript""]"
"{""Id"":""555""}","[""javascript"",""mysql"",""nodejs"",""regex"",""bash"",""http"",""go"",""vagrant"",""ecmascript-2015"",""makefile"",""docker"",""puppet""]"
"{""Id"":""2832""}","[""javascript"",""php"",""jquery"",""html"",""css"",""bootstrap"",""google-maps"",""aplicación-web"",""formularios"",""funciones"",""bootstrap-carousel"",""cache""]"
"{""Id"":""1839""}","[""php"",""html"",""mysql"",""css"",""array"",""linux"",""google-maps"",""git"",""regex"",""bash"",""orientación-a-objetos"",""joomla3"",""yii2"",""xpath"",""ecmascript-2015"",""magento2"",""magento-1.9"",""gpg""]"
"{""Id"":""25""}","[""android"",""jquery"",""ajax"",""html5"",""css"",""angularjs"",""asp.net"",""bootstrap"",""android-studio"",""c"","".net"",""asp.net-mvc"",""google-maps"",""css3"",""string"",""asp.net-mvc-5"",""asp.net-web-api"",""gradle"",""angularjs-2.0"",""ordenamiento"",""razor"",""casting"",""tipos"",""momentjs"",""mercurial"",""angular2-template"",""booleano"",""perl"",""matrices-asociativas"",""karma-jasmine"",""jasmine""]"
"{""Id"":""6497""}","[""post"",""tinymce""]"
"{""Id"":""6173""}","[""java"",""php"",""android"",""jquery"",""json"",""array"",""wordpress"",""string"",""swift2"",""swift"",""android-layout"",""xcode"",""http"",""post"",""email"",""variables"",""encriptacion"",""app"",""twig"",""webview"",""casting"",""jquery-validate"",""fecha"",""asincrónico"",""whatsapp"",""uitableviewcontroller"",""mpdf"",""uitableview"",""cabeceras-http"",""dispatch-async"",""alamofire"",""uiview"",""uicollectionview"",""segue"",""cocoapods"",""constraints"",""alamofireimage"",""lang"",""wordpress-theme"",""jquery-seat-chart"",""appdelegate"",""if-else"",""sha512"",""boundary"",""nsstring"",""validate"",""required"",""snapkit"",""nsdata""]"
"{""Id"":""95""}","[""c++"",""android-studio"",""c"",""string"",""gradle"",""angularjs-2.0"",""c++11"",""casting"",""angular2-template""]"
"{""Id"":""34""}","[""javascript"",""php"",""android"",""jquery"",""mysql"",""sql"",""html5"",""ajax"",""bootstrap"",""base-de-datos"",""ios"",""css3"",""xml"",""jsp"",""cordova"",""seguridad"",""eventos"",""phonegap"",""lenguaje-agnóstico"",""svg"",""local-storage"",""d3.js"",""internacionalización"",""avd"",""arm"",""unidades-de-medición"",""programación-móvil"",""aem"",""namespace"",""almacenamiento"",""cq5"",""css-transform"",""promises"",""inyección-sql"",""intel-atom"",""data-atributos""]"
"{""Id"":""398""}","[""javascript"",""c#"",""c"","".net"",""datatables"",""asp.net-web-api"",""sharepoint"",""powershell"",""npm"",""winapi"",""signalr"",""real-time""]"
"{""Id"":""9754""}","[""java"",""javascript"",""php"",""android"",""jquery"",""html"",""html5"",""css"",""json"",""array"",""ios"",""css3"",""wordpress"",""string"",""swift2"",""swift"",""android-layout"",""xcode"",""http"",""post"",""email"",""variables"",""encriptacion"",""app"",""twig"",""webview"",""casting"",""jquery-validate"",""fecha"",""asincrónico"",""whatsapp"",""uitableviewcontroller"",""mpdf"",""uitableview"",""cabeceras-http"",""nsdata"",""segue"",""uicollectionview"",""cocoapods"",""alamofireimage"",""alamofire"",""uiview"",""jquery-seat-chart"",""constraints"",""lang"",""if-else"",""sha512"",""wordpress-theme"",""appdelegate"",""boundary"",""nsstring"",""required"",""snapkit"",""validate"",""dispatch-async""]"
"{""Id"":""120""}","["".net"",""windows-forms"",""entity-framework"",""revisión-de-código"",""drag-and-drop"",""agarrar-y-soltar"",""irc""]"
"{""Id"":""7661""}","[""javascript"",""css"",""array"",""revisión-de-código"",""regex"",""optimización"",""google-drive"",""gmail"",""google-forms"",""formulas"",""bookmarklet""]"
"{""Id"":""22""}","[""html"",""java"",""php"",""c#"",""css"",""mysql"",""sql"",""html5"",""json"",""bootstrap"",""linux"",""windows"",""regex"",""google-maps"",""css3"",""oracle"",""eclipse"",""netbeans"",""ruby"",""bash"",""swing"",""jpa"",""unity3d"",""primefaces"",""maven"",""plugin"",""github"",""ordenamiento"",""plsql"",""oracle-11g"",""orientación-a-objetos"",""git-commit"",""yii2"",""joomla3"",""git-push"",""jdbc"",""i18n"",""rubygems"",""oracle-10g"",""admob"",""sqldeveloper"",""knockoutjs"",""importación"",""hql"",""xpath"",""ecmascript-2015"",""jboss"",""magento2"",""matrices-asociativas"",""depuración"",""jboss-as-7"",""sqlfiddle"",""scss"",""spring-tool-suite"",""jsfiddle"",""3d"",""git-fork"",""java-9"",""coffeescript"",""dukescript"",""jboss-cli"",""azul-zulu"",""seam"",""jboss-as"",""jboss-eap"",""gpg"",""magento-1.9"",""webgl"",""primefaces-calendar""]"
"{""Id"":""547""}","[""windows"",""visual-studio"",""git"",""visual-studio-2015"",""azure"",""windows10"",""directorioactivo"",""registro-windows""]"
"{""Id"":""400""}","[""java-ee"",""rest"",""servlets"",""lenguaje-agnóstico"",""vscode"",""apache-poi"",""paso-por-referencia"",""wildfly"",""paso-por-valor"",""mercurial"",""cabeceras-http"",""subrepositorios"",""jmc""]"
"{""Id"":""187""}","[""android"",""jquery"",""html5"",""array"",""django"",""base-de-datos"",""python-2.7"",""python-3.x"",""string"",""pdf"",""ubuntu"",""formularios"",""revisión-de-código"",""funciones"",""ionic"",""lista"",""validación"",""cordova"",""archivo"",""nginx"",""datetime"",""excepciones"",""clase"",""highcharts"",""pip"",""lua"",""parse.com"",""haskell"",""método"",""configuración"",""control-de-versiones"",""reportlab"",""mercurial"",""asincronismo"",""celery"",""logrotate""]"
"{""Id"":""100""}","[""java"",""html"",""json"",""php"",""c#"",""css"",""nodejs"",""ajax"",""git"",""angularjs"",""google-maps"",""c"","".net"",""windows"",""spring"",""regex"",""mongodb"",""hibernate"",""datatables"",""http"",""poo"",""django-models"",""rest"",""jpa"",""unix"",""orientación-a-objetos"",""git-commit"",""spring-mvc"",""maven"",""google-chrome"",""hilos"",""angularjs-2.0"",""matemáticas"",""twitter-api"",""shell"",""manejo-de-memoria"",""windows10"",""django-forms"",""oauth"",""git-push"",""yii2"",""typescript"",""joomla3"",""gulp"",""djangorestframework"",""nosql"",""google-app-engine"",""pyqt"",""powershell"",""ecmascript-2015"",""django-admin"",""go"",""mongoose"",""constructor"",""makefile"",""material-design-lite"",""vagrant"",""xpath"",""google-datastore"",""conda"",""magento2"",""babeljs"",""docker"",""zsh"",""ascii"",""grep"",""yield"",""clase-abstracta"",""electron"",""restful"",""awk"",""tweepy"",""coroutine"",""depurar"",""ngresource"",""svn"",""ui.router"",""sed"",""node"",""subversion"",""magento-1.9"",""gpg"",""generator"",""objectify"",""staticfiles"",""puppet"",""ngroute""]"
"{""Id"":""24""}","[""javascript"",""c#"",""php"",""mysql"",""sql"",""json"",""array"",""base-de-datos"",""nodejs"",""windows"",""google-maps"",""xml"",""git"",""swift"",""sqlite"",""revisión-de-código"",""android-layout"",""visual-studio-2015"",""xaml"",""objective-c"",""google-play"",""trigger"",""groovy"",""material-design"",""uwp"",""licencias"",""dialogo"",""uiwebview"",""android-glide"",""rss"",""android-jellybean"",""google-newsstand-producer"",""realm"",""código-abierto"",""live-template""]"
"{""Id"":""2230""}","[""html"",""javascript"",""jquery"",""ajax"",""html5"",""css"",""angularjs"",""c++"",""bootstrap"",""c"",""ios"",""css3"",""xml"",""codeigniter"",""spring"",""jsp"",""post"",""cordova"",""seguridad"",""codeigniter-3"",""angularjs-2.0"",""eventos"",""c++11"",""phonegap"",""lenguaje-agnóstico"",""recyclerview"",""svg"",""local-storage"",""gridview"",""d3.js"",""casting"",""materialize"",""admob"",""internacionalización"",""angular2-template"",""avd"",""reflection"",""programación-móvil"",""arm"",""unidades-de-medición"",""data-atributos"",""intel-atom"",""aem"",""cq5"",""css-transform"",""almacenamiento"",""namespace"",""promises"",""inyección-sql""]"
"{""Id"":""2163""}","[""javascript"",""sql"",""c#"",""jquery"",""html5"",""css"",""bootstrap"",""android-studio"",""windows"",""ios"",""google-maps"",""css3"",""xml"",""string"",""sqlite"",""android-layout"",""jsp"",""gradle"",""cordova"",""xaml"",""seguridad"",""eventos"",""google-play"",""phonegap"",""lenguaje-agnóstico"",""trigger"",""svg"",""material-design"",""local-storage"",""uwp"",""d3.js"",""internacionalización"",""avd"",""programación-móvil"",""arm"",""unidades-de-medición"",""inyección-sql"",""data-atributos"",""android-jellybean"",""aem"",""intel-atom"",""realm"",""live-template"",""almacenamiento"",""namespace"",""cq5"",""css-transform"",""promises""]"
"{""Id"":""9905""}","[""java"",""mysql"",""css"",""netbeans"",""matemáticas"",""eventos"",""jdbc""]"
"{""Id"":""1798""}","[""javascript"",""php"",""jquery"",""html"",""mysql"",""css"",""array"",""linux"",""google-maps"",""regex"",""bash"",""orientación-a-objetos"",""yii2"",""joomla3"",""xpath"",""ecmascript-2015"",""magento2"",""gpg"",""magento-1.9""]"
"{""Id"":""2429""}","[""android"",""mysql"",""css"",""bootstrap"",""base-de-datos"",""ios"",""css3"",""xml"",""jsp"",""cordova"",""eventos"",""phonegap"",""lenguaje-agnóstico"",""svg"",""local-storage"",""d3.js"",""internacionalización"",""avd"",""programación-móvil"",""arm"",""unidades-de-medición"",""inyección-sql"",""data-atributos"",""intel-atom"",""aem"",""cq5"",""almacenamiento"",""namespace"",""css-transform"",""promises""]"
"{""Id"":""73""}","[""jquery"",""android"",""c#"",""mysql"",""sql"",""css3"",""bootstrap"",""base-de-datos"","".net"",""ios"",""xml"",""formularios"",""jsp"",""cordova"",""seguridad"",""eventos"",""phonegap"",""lenguaje-agnóstico"",""svg"",""local-storage"",""animación"",""d3.js"",""internacionalización"",""operador"",""avd"",""reflection"",""programación-móvil"",""arm"",""unidades-de-medición"",""cq5"",""css-transform"",""promises"",""inyección-sql"",""data-atributos"",""intel-atom"",""aem"",""almacenamiento"",""namespace""]"
"{""Id"":""225""}","[""java"",""javascript"",""c++"",""array"",""nodejs"",""xml"",""git"",""revisión-de-código"",""visual-studio-2015"",""c++11"",""groovy"",""licencias"",""código-abierto""]"
"{""Id"":""288""}","[""javascript"",""java"",""c#"",""jquery"",""array"",""nodejs"",""c++"",""git"",""xml"",""revisión-de-código"",""visual-studio-2015"",""seguridad"",""errores"",""eventos"",""c++11"",""groovy"",""conversión-de-tipos"",""licencias"",""go"",""pouchdb"",""sandbox"",""código-abierto""]"
"{""Id"":""729""}","[""android"",""c#"",""html5"",""python"",""sql"",""base-de-datos"",""ajax"",""angularjs"",""json"",""asp.net"",""css3"",""xml"",""bootstrap"",""django"",""nodejs"","".net"",""windows"",""formularios"",""vb.net"",""ios"",""python-2.7"",""visual-studio"",""python-3.x"",""string"",""pdf"",""validación"",""cordova"",""ubuntu"",""seguridad"",""revisión-de-código"",""funciones"",""ionic"",""jsp"",""eventos"",""excepciones"",""lista"",""iis"",""errores"",""archivo"",""nginx"",""datetime"",""razor"",""clase"",""phonegap"",""lenguaje-agnóstico"",""highcharts"",""facebook-api"",""svg"",""conversión-de-tipos"",""pip"",""local-storage"",""animación"",""lua"",""configuración"",""parse.com"",""go"",""sailsjs"",""haskell"",""d3.js"",""método"",""operador"",""tipos"",""control-de-versiones"",""internacionalización"",""mercurial"",""asincronismo"",""booleano"",""avd"",""reportlab"",""reflection"",""celery"",""perl"",""programación-móvil"",""unidades-de-medición"",""arm"",""nuget"",""promises"",""inyección-sql"",""data-atributos"",""intel-atom"",""pouchdb"",""aem"",""logrotate"",""cq5"",""sandbox"",""namespace"",""almacenamiento"",""css-transform""]"
"{""Id"":""531""}","[""javascript"",""html"",""sql"",""ms-access-2010"",""ftp"",""ssis"",""xhtml"",""as400""]"
"{""Id"":""529""}","[""android"",""jquery"",""mysql"",""html5"",""array"",""django"",""linux"",""base-de-datos"",""python-2.7"",""python-3.x"",""string"",""pdf"",""ubuntu"",""formularios"",""revisión-de-código"",""bash"",""funciones"",""ionic"",""lista"",""validación"",""cordova"",""archivo"",""nginx"",""datetime"",""excepciones"",""clase"",""highcharts"",""pip"",""lua"",""configuración"",""parse.com"",""haskell"",""método"",""control-de-versiones"",""reportlab"",""mercurial"",""asincronismo"",""celery"",""logrotate""]"
"{""Id"":""83""}","[""javascript"",""android"",""jquery"",""mysql"",""python"",""html5"",""array"",""django"",""base-de-datos"",""python-2.7"",""python-3.x"",""string"",""pdf"",""ubuntu"",""formularios"",""revisión-de-código"",""funciones"",""ionic"",""lista"",""validación"",""cordova"",""nginx"",""datetime"",""excepciones"",""clase"",""highcharts"",""lua"",""pip"",""configuración"",""parse.com"",""haskell"",""método"",""control-de-versiones"",""reportlab"",""mercurial"",""asincronismo"",""celery"",""logrotate""]"
"{""Id"":""638""}","[""android"",""jquery"",""mysql"",""html5"",""array"",""linux"",""base-de-datos"",""python-2.7"",""python-3.x"",""string"",""pdf"",""ubuntu"",""formularios"",""revisión-de-código"",""bash"",""funciones"",""ionic"",""lista"",""validación"",""cordova"",""archivo"",""nginx"",""datetime"",""excepciones"",""clase"",""highcharts"",""lua"",""pip"",""configuración"",""parse.com"",""haskell"",""método"",""control-de-versiones"",""mercurial"",""asincronismo"",""reportlab"",""celery"",""logrotate""]"
"{""Id"":""2004""}","[""android"",""html5"",""jquery"",""mysql"",""angularjs"",""asp.net"",""array"",""django"",""linux"",""base-de-datos"",""python-2.7"",""visual-studio"",""python-3.x"",""pdf"",""oracle"",""revisión-de-código"",""formularios"",""regex"",""bash"",""funciones"",""java-ee"",""ionic"",""rest"",""lista"",""validación"",""stored-procedure"",""cordova"",""iis"",""servlets"",""nginx"",""encriptacion"",""archivo"",""datetime"",""excepciones"",""clase"",""oracle-11g"",""lenguaje-agnóstico"",""highcharts"",""lua"",""mercurial"",""pip"",""configuración"",""parse.com"",""haskell"",""spring-security"",""método"",""wildfly"",""timestamp"",""vscode"",""paso-por-referencia"",""apache-poi"",""asincronismo"",""reportlab"",""paso-por-valor"",""celery"",""cabeceras-http"",""moodle"",""subrepositorios"",""ngcookies"",""angular-translate"",""logrotate"",""jmc"",""md5""]"
"{""Id"":""2171""}","[""nodejs"",""visual-studio"",""git"",""visual-studio-2015"",""azure"",""windows10"",""directorioactivo"",""registro-windows""]"
"{""Id"":""2747""}","[""c#"",""python"",""json"","".net"",""google-maps"",""string"",""git"",""ubuntu"",""spring"",""jpa"",""hibernate"",""maven"",""google-chrome"",""matemáticas"",""git-commit"",""git-push"",""oauth"",""google-app-engine"",""control-de-versiones"",""google-datastore"",""objectify"",""subversion"",""svn""]"
"{""Id"":""2676""}","[""jquery"",""html5"",""css"",""base-de-datos"",""google-maps"",""apache"",""wordpress"",""eclipse"",""regex"",""swing"","".htaccess"",""jsp"",""servlets"",""algoritmos"",""hilos"",""tomcat"",""datetime"",""redirección"",""lenguaje-agnóstico"",""condiciones"",""loops"",""localización"",""i18n"",""internacionalización"",""combobox"",""fecha"",""importación"",""comparaciones"",""double"",""java-stream"",""pattern"",""redondeo"",""bigdecimal"",""constantes"",""db2"",""infobox"",""eficiencia"",""anotaciones"",""oracle-sqldeveloper"",""volatile""]"
"{""Id"":""12625""}","[""android"",""jquery"",""mysql"",""sql"",""base-de-datos"",""ios"",""xml"",""jsp"",""cordova"",""seguridad"",""eventos"",""phonegap"",""lenguaje-agnóstico"",""svg"",""local-storage"",""d3.js"",""internacionalización"",""avd"",""arm"",""programación-móvil"",""unidades-de-medición"",""cq5"",""almacenamiento"",""namespace"",""css-transform"",""promises"",""inyección-sql"",""data-atributos"",""intel-atom"",""aem""]"
"{""Id"":""65""}","[""google-plus""]"
"{""Id"":""9099""}","[""bootstrap"",""c"",""windows"",""git"",""aplicación-web"",""revisión-de-código"","".htaccess"",""facebook"",""optimización"",""redirección"",""bootstrap-carousel"",""dom"",""facebook-api"",""local-storage"",""animación"",""menu"",""rendimiento"",""grid"",""intel-xdk"",""gif"",""desplegable""]"
"{""Id"":""2838""}","[""android"",""jquery"",""mysql"",""array"",""linux"",""base-de-datos"",""python-2.7"",""string"",""pdf"",""ubuntu"",""revisión-de-código"",""bash"",""funciones"",""ionic"",""lista"",""validación"",""cordova"",""nginx"",""archivo"",""excepciones"",""datetime"",""clase"",""highcharts"",""lua"",""pip"",""método"",""configuración"",""parse.com"",""haskell"",""control-de-versiones"",""reportlab"",""mercurial"",""asincronismo"",""celery"",""logrotate""]"
"{""Id"":""353""}","[""android"",""mysql"",""html5"",""array"",""linux"",""base-de-datos"",""python-2.7"",""string"",""pdf"",""ubuntu"",""formularios"",""bash"",""funciones"",""ionic"",""lista"",""validación"",""cordova"",""nginx"",""archivo"",""excepciones"",""datetime"",""clase"",""highcharts"",""lua"",""pip"",""método"",""configuración"",""parse.com"",""haskell"",""control-de-versiones"",""reportlab"",""mercurial"",""asincronismo"",""celery"",""logrotate""]"
"{""Id"":""191""}","[""php"",""c#"",""sql"",""base-de-datos"",""windows"",""google-maps"",""string"",""sqlite"",""android-layout"",""gradle"",""xaml"",""google-play"",""trigger"",""uwp"",""material-design"",""live-template"",""android-jellybean"",""realm""]"
"{""Id"":""2722""}","[""html"",""html5"",""css"",""css3"",""git"",""revisión-de-código"",""github"",""reactjs"",""babeljs"",""filtros-css""]"
"{""Id"":""250""}","[""java"",""json"",""c#"",""array"",""google-maps"",""asp.net"",""git"",""linux"",""android-studio"",""codeigniter"",""windows"",""asp.net-mvc"",""laravel"",""apache"",""wordpress"",""string"",""mysqli"",""rails"",""sqlite"",""postgresql"",""revisión-de-código"",""codeigniter-3"",""android-layout"",""bash"",""visual-studio-2015"",""regex"",""datatables"",""gradle"",""post"",""xaml"",""errores"",""plugin"",""debian"",""excepciones"",""xamarin"",""ordenamiento"",""google-play"",""orientación-a-objetos"",""diseño"",""trigger"",""joomla3"",""yii2"",""animación"",""condiciones"",""uwp"",""material-design"",""login"",""materialize"",""admob"",""gridview"",""url"",""xpath"",""ecmascript-2015"",""magento2"",""xamarin.forms"",""session"",""realm"",""mono"",""live-template"",""gpg"",""magento-1.9"",""android-jellybean""]"
"{""Id"":""731""}","[""php"",""mysql"",""html"",""sql"",""html5"",""css"",""ajax"",""bootstrap"",""base-de-datos"",""ios"",""css3"",""xml"",""jsp"",""cordova"",""seguridad"",""eventos"",""phonegap"",""lenguaje-agnóstico"",""svg"",""local-storage"",""d3.js"",""internacionalización"",""avd"",""arm"",""unidades-de-medición"",""programación-móvil"",""cq5"",""namespace"",""css-transform"",""almacenamiento"",""promises"",""inyección-sql"",""data-atributos"",""intel-atom"",""aem""]"
"{""Id"":""399""}","[""android"",""jquery"",""python"",""html5"",""array"",""django"",""linux"",""base-de-datos"",""python-2.7"",""python-3.x"",""string"",""pdf"",""ubuntu"",""revisión-de-código"",""formularios"",""funciones"",""ionic"",""lista"",""validación"",""cordova"",""nginx"",""archivo"",""excepciones"",""datetime"",""clase"",""highcharts"",""lua"",""pip"",""método"",""configuración"",""parse.com"",""haskell"",""control-de-versiones"",""reportlab"",""mercurial"",""asincronismo"",""celery"",""logrotate""]"
"{""Id"":""342""}","[""mysql"",""array"",""base-de-datos"",""nodejs"",""google-maps"",""apache"",""wordpress"",""string"",""servlets"",""spring"",""revisión-de-código"","".htaccess"",""java-ee"",""rest"",""jsp"",""lenguaje-agnóstico"",""seguridad"",""spring-mvc"",""errores"",""algoritmos"",""tomcat"",""hilos"",""eventos"",""thread"",""datetime"",""redirección"",""conversión-de-tipos"",""java-8"",""condiciones"",""loops"",""localización"",""go"",""tipos"",""fecha"",""wildfly"",""internacionalización"",""vscode"",""combobox"",""paso-por-referencia"",""apache-poi"",""paso-por-valor"",""mercurial"",""booleano"",""comparaciones"",""constantes"",""bigdecimal"",""double"",""java-stream"",""redondeo"",""perl"",""pattern"",""cabeceras-http"",""jmc"",""anotaciones"",""oracle-sqldeveloper"",""sandbox"",""volatile"",""subrepositorios"",""db2"",""pouchdb"",""infobox"",""zepto"",""eficiencia""]"